frame_number,time_seconds,hands_detected,pipette_candidates,nondom_hand_confidence,nondom_hand_x,nondom_hand_y,dom_hand_confidence,dom_hand_x,dom_hand_y,nondom_velocity,nondom_distance,dom_velocity,dom_distance
0,0.0,0,1,,,,,,,,,,
30,0.5084745762711864,1,1,0.9914861917495728,1695.0,450.0,,,,,,,
60,1.0169491525423728,2,2,0.9751105904579163,1124.0,283.0,0.8534525632858276,594.0,434.0,594.9201627109305,594.9201627109305,,
90,1.5254237288135593,0,1,,,,,,,,,,
120,2.0338983050847457,1,1,0.9724696278572083,1266.0,345.0,,,,,,,
150,2.542372881355932,0,0,,,,,,,,,,
180,3.0508474576271185,0,1,,,,,,,,,,
210,3.559322033898305,2,0,0.927167534828186,571.0,646.0,0.9944728016853333,521.0,778.0,,,,
240,4.067796610169491,0,2,,,,,,,,,,
270,4.576271186440678,1,0,,,,0.8712913990020752,142.0,333.0,,,,
300,5.084745762711864,2,2,0.9762845039367676,492.0,223.0,0.8075444102287292,206.0,318.0,,,65.73431371817918,65.73431371817918
330,5.593220338983051,2,2,0.9684945344924927,495.0,238.0,0.9149484038352966,191.0,294.0,15.297058540778355,15.297058540778355,28.30194339616981,28.30194339616981
360,6.101694915254237,1,2,,,,0.7344914674758911,130.0,321.0,,,66.70832032063167,66.70832032063167
390,6.610169491525424,2,2,0.9258309602737427,1224.0,377.0,0.9896650910377502,741.0,565.0,,,657.9186879850731,657.9186879850731
420,7.11864406779661,0,1,,,,,,,,,,
450,7.627118644067797,1,2,0.7899420857429504,830.0,597.0,,,,,,,
480,8.135593220338983,1,4,,,,0.6179370284080505,852.0,588.0,,,,
510,8.64406779661017,1,1,,,,0.935287356376648,606.0,358.0,,,336.7729205265768,336.7729205265768
540,9.152542372881356,1,3,,,,0.9627306461334229,606.0,309.0,,,49.0,49.0
570,9.661016949152541,1,4,,,,0.9602775573730469,556.0,579.0,,,274.5906043549196,274.5906043549196
600,10.169491525423728,1,1,,,,0.9825453758239746,578.0,581.0,,,22.090722034374522,22.090722034374522
630,10.677966101694915,2,3,0.9803912043571472,1155.0,17.0,0.9625011682510376,582.0,581.0,,,4.0,4.0
660,11.186440677966102,2,1,0.9868523478507996,1054.0,4.0,0.9688145518302917,581.0,586.0,101.83319694480774,101.83319694480774,5.0990195135927845,5.0990195135927845
690,11.694915254237289,1,5,,,,0.9596078991889954,594.0,654.0,,,69.2314957226839,69.2314957226839
720,12.203389830508474,2,2,,,,0.9843254089355469,569.0,735.0,,,84.77027781009096,84.77027781009096
750,12.711864406779661,0,1,,,,,,,,,,
780,13.220338983050848,0,0,,,,,,,,,,
810,13.728813559322035,1,1,,,,0.9626780152320862,346.0,369.0,,,,
840,14.23728813559322,0,2,,,,,,,,,,
870,14.745762711864407,1,4,,,,0.956865668296814,643.0,574.0,,,,
900,15.254237288135593,1,3,,,,0.9677039384841919,655.0,572.0,,,12.165525060596439,12.165525060596439
930,15.76271186440678,2,2,0.8904595971107483,996.0,489.0,0.9725307822227478,680.0,599.0,,,36.796738985948195,36.796738985948195
960,16.271186440677965,2,2,0.8892168998718262,1001.0,496.0,0.9626740217208862,686.0,611.0,8.602325267042627,8.602325267042627,13.416407864998739,13.416407864998739
990,16.779661016949152,2,2,0.9312808513641357,976.0,513.0,0.9507385492324829,694.0,611.0,30.23243291566195,30.23243291566195,8.0,8.0
